Street Address,City,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,Latitude,Longitude,ID,EV Connector Types,Facility Type
11797 Truesdale St,Sun Valley,91352,Private,Fleet use only,,39,3,,34.2483191527193,-118.3879713743439,1517,CHADEMO J1772 J1772COMBO,UTILITY
1394 S Sepulveda Blvd,Los Angeles,90024,Private,,,4,,,34.052542,-118.448504,1519,J1772,UTILITY
1201 S Figueroa St,Los Angeles,90015,Public,24 hours daily; pay lot,,12,,,34.040539,-118.271387,1523,J1772,PARKING_GARAGE
111 N Hope St,Los Angeles,90012,Private,For fleet and employee use only,,311,2,,34.059133,-118.248589,1525,CHADEMO J1772 J1772COMBO,UTILITY
6801 E 2nd St,Long Beach,90803,Private,Fleet use only,,19,1,,33.759802,-118.096665,1531,CHADEMO J1772 J1772COMBO,UTILITY
161 N Island Ave,Wilmington,90744,Private,Fleet use only,,10,,,33.770508,-118.265628,1552,J1772,UTILITY
1630 N Main St,Los Angeles,90012,Private,Fleet and employee use only,,46,1,,34.066801,-118.227605,1572,CHADEMO J1772,UTILITY
2311 S Fairfax Ave,Los Angeles,90016,Private,Fleet use only,,13,,,34.036777,-118.368841,1573,J1772,UTILITY
9530 Telstar Ave,El Monte,91731,Public,24 hours daily,,3,,,34.06872,-118.064,1583,J1772,STATE_GOV
1212 Palmetto St,Los Angeles,90013,Private,Fleet use only,,10,,,34.039736,-118.236065,1589,J1772,UTILITY
10666 N Torrey Pines Rd,La Jolla,92037,Public,24 hours daily,,1,,,32.89947,-117.243,6355,J1772,HOSPITAL
15421 Roscoe Blvd,Sepulveda,91343,Public - Call ahead,Dealership business hours,,2,,,34.221665,-118.468371,6405,J1772,CAR_DEALER
1299 Galleria at Tyler,Riverside,92503,Public,6am-12am daily,,4,,,33.909914,-117.459053,6425,J1772,SHOPPING_MALL
150 E Holly St,Pasadena,91103,Public,24 hours daily; pay lot,,16,,,34.14762,-118.147111,6505,J1772,PARKING_GARAGE
45 De Lacey Ave,Pasadena,91105,Public,24 hours daily; pay lot,,2,,,34.145138,-118.152655,6506,J1772,PARKING_GARAGE
33 E Green St,Pasadena,91105,Public,24 hours daily; pay lot,,3,,,34.145119,-118.150133,6507,J1772,PARKING_GARAGE
150 S Los Robles,Pasadena,91101,Public,24 hours daily; for guest use only; valet fee,,4,,,34.142973,-118.140553,6508,J1772,HOTEL
200 S Pine Ave,Long Beach,90802,Public,24 hours daily; pay lot; see valet for access,,1,,,33.7637,-118.192,7172,J1772,HOTEL
1 World Way,Los Angeles,90045,Public,24 hours daily; pay lot,,20,,,33.94325,-118.403342,7184,J1772,AIRPORT
9301 Tampa Ave,Northridge,91324,Public,6am-12am daily,,2,,,34.241116,-118.556708,7192,J1772,SHOPPING_MALL
700 N Haven Ave,Ontario,91764,Public,24 hours daily; guest use only,,1,,,34.07122,-117.575,7194,J1772,HOTEL
600 E Esplanade Dr,Oxnard,93030,Public,24 hours daily; guest use only,,1,,,34.228315,-119.170865,7195,J1772,HOTEL
400 E Tahquitz Canyon Way,Palm Springs,92262,Public,24 hours daily; pay lot; priority given to registered guests,,2,,,33.824004,-116.543589,7196,J1772,HOTEL
4340 Rosewood Dr,Pleasanton,94588,Public,Dealership business hours,,2,,,37.700187,-121.876172,7197,J1772,CAR_DEALER
5425 Wilson St,Riverside,92509,Public,8am-4:30pm M-F,,3,,,34.0189,-117.38,7206,J1772,OFFICE_BLDG
Lindbergh Dr,Sacramento,95837,Public,24 hours daily; pay lot,,4,,1 SP Inductive,38.69005,-121.58889,7212,J1772,AIRPORT
3223 Donald Douglas Loop,Santa Monica,90405,Public,24 hours daily,,2,,,34.017081,-118.44704,7229,J1772,AIRPORT
200 Santa Monica Pier,Santa Monica,90405,Public,24 hours daily; pay lot,,3,,,34.010021,-118.49583,7230,J1772,MUNI_GOV
14006 Riverside Dr,Sherman Oaks,91423,Public,6am-12am daily,,4,,,34.156839,-118.434454,7233,J1772,SHOPPING_CENTER
7724 Van Nuys Blvd,Van Nuys,91405,Public,24 hours daily,,4,,,34.21108,-118.448704,7245,J1772,PARKING_LOT
7075 Firestone Blvd,Downey,90241,Public,24 hours daily,,4,,,33.94756,-118.153806,7250,J1772,SHOPPING_CENTER
555 N Point St,San Francisco,94133,Public,24 hours daily; pay lot; see valet for access,,1,,,37.80619,-122.4152,7280,J1772,HOTEL
1689 Arden Way,Sacramento,95815,Public,24 hours daily,,4,,,38.599693,-121.427045,7286,J1772,SHOPPING_MALL
2 New Montgomery St,San Francisco,94105,Public,24 hours daily,,1,,,37.78881,-122.401,21358,J1772,HOTEL
999 California St,San Francisco,94108,Public,24 hours daily; for guest use only; see valet for access,,1,,,37.791791,-122.411265,21360,J1772,HOTEL
8555 Beverly Blvd,Los Angeles,90048,Public,24 hours daily; for guest use only; see valet for access,,2,,,34.076264,-118.377527,21368,J1772,HOTEL
135 N Grand Ave,Los Angeles,90012,Public,"Garage business hours; pay lot; keypad activated, instructions on EVSE",,3,,,34.057657,-118.24789,21374,J1772,PAY_GARAGE
16821 Burbank Blvd,Encino,91436,Public,24 hours daily,,1,,,34.169242,-118.497212,21383,J1772,REC_SPORTS_FACILITY
18111 Nordhoff St,Northridge,91330,Public,24 hours daily; parking permit required,,2,,,34.248959,-118.523887,21395,J1772,COLLEGE_CAMPUS
18111 Nordhoff St,Northridge,91330,Public,24 hours daily; parking permit required,,2,,,34.241687,-118.528543,21396,J1772,COLLEGE_CAMPUS
18111 Nordhoff St,Northridge,91330,Public,24 hours daily; parking permit required,,4,,,34.236853,-118.532588,21397,J1772,COLLEGE_CAMPUS
8775 Wilbur Ave,Northridge,91324,Public,24 hours daily,,4,,,34.229277,-118.544827,21398,J1772,PARKING_LOT
425 S Palos Verdes St,San Pedro,90731,Public,8am-5pm daily,,4,,,33.740758,-118.28192,21402,J1772,PARKING_LOT
Village Way Dr,San Fernando,91342,Public,24 hours daily,,4,,,34.2924134,-118.4497914,21414,J1772,PARKING_LOT
1200 Getty Center Dr,Los Angeles,90049,Public,Garage business hours; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,12,16,,,34.077588,-118.474585,21419,J1772 NEMA520,PARKING_GARAGE
301 N Baldwin Ave,Arcadia,91007,Public,24 hours daily,,3,,,34.145528,-118.050548,21450,J1772,MUNI_GOV
114 S Vista Bonita Ave,Glendora,91741,Public,5am-2am daily,,3,,,34.13556,-117.864,21498,J1772,MUNI_GOV
6161 Centinela Ave,Culver City,90230,Public,24 hours daily; guest use only,,2,,,33.9826,-118.3966,21524,J1772,HOTEL
8800 Venice Blvd,Los Angeles,90034,Public,24 hours daily,,6,,,34.029971,-118.385231,21525,J1772,PARKING_GARAGE
2800 N Main St,Santa Ana,92705,Public,Business hours,,6,,,33.777054,-117.870566,21535,J1772,SHOPPING_MALL
1 University Dr,Camarillo,93012,Public,24 hours daily; parking pass required or day pass available for purchase,,5,,,34.16657601660278,-119.0458546627045,21559,J1772,COLLEGE_CAMPUS
101 S Brea Blvd,Brea,92821,Public,Garage business hours; 4 hour parking limit,,4,,,33.919899,-117.898618,21561,J1772,PARKING_GARAGE
2745 Teller Rd,Newbury Park,91320,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,4,2,,,34.192178,-118.934793,21565,J1772 NEMA515,SHOPPING_CENTER
Casitas Pass Rd & Baldwin Rd,Oak View,93022,Public - Call ahead,8am-5pm daily,,1,,,34.418322,-119.3368,21566,J1772,PARK
205 S San Dimas Ave,San Dimas,91773,Public,24 hours daily,,2,,,34.105275,-117.809208,21569,J1772,PARKING_LOT
100 N El Molino Ave,Pasadena,91101,Public,24 hours daily; pay lot,,2,,,34.147709,-118.136621,21594,J1772,PARKING_LOT
800 S Victoria Ave,Ventura,93009,Public,8am-5pm daily,,3,,,34.267352,-119.2124,21606,J1772,MUNI_GOV
669 County Square Dr,Ventura,93003,Public,8am-5pm daily,,3,,,34.268756,-119.2154,21607,J1772,MUNI_GOV
3295 E Main St,Ventura,93003,Public,24 hours daily,,2,,1 SP Inductive,34.268,-119.2492,21608,J1772,SHOPPING_MALL
12700 Vista del Mar,Playa del Rey,90293,Private,Fleet use only,,16,,,33.917593,-118.425334,21609,J1772,UTILITY
1441 Research Park Dr,Davis,95616,Public,24 hours daily,1,3,,,38.539336,-121.732405,21673,J1772 NEMA520,COLLEGE_CAMPUS
3433 Roberto Ct,San Luis Obispo,93401,Private,Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,,35.25939,-120.64492,21713,J1772 NEMA520,MUNI_GOV
601 Front St,Santa Cruz,95061,Public,24 hours daily,,5,,,36.973393,-122.024849,21794,J1772,PARKING_GARAGE
315 N Island Ave,Wilmington,90744,Private,Fleet use only,,8,,,33.773005,-118.265821,25171,J1772,UTILITY
11601 Fair Oaks Blvd,Fair Oaks,95628,Public,24 hours daily,,2,,,38.66292,-121.2634,25491,J1772,PARKING_LOT
2901 K St,Sacramento,95816,Public,24 hours daily; pay lot; visitor and student use only; Drivers must bring their own J1772 cordset for Level 1 charging,1,2,,,38.57277,-121.467902,25494,J1772 NEMA520,COLLEGE_CAMPUS
4235 Antelope Rd,Antelope,95843,Public,24 hours daily,,1,,,38.7042,-121.365,25497,J1772,LIBRARY
2710 Gateway Oaks Dr,Sacramento,95833,Private,Tenant use only,,1,,,38.615468,-121.517263,25500,J1772,OFFICE_BLDG
4860 Y St,Sacramento,95817,Public,24 hours daily,,2,,,38.552483,-121.4487,25501,J1772,HOSPITAL
5600 S Land Park Dr,Sacramento,95822,Public,24 hours daily,,2,,,38.524403,-121.5112,25502,J1772,LIBRARY
Mosquito Rd & Clay St,Placerville,95667,Public,Lot business hours; overnight parking prohibited,,2,,,38.73323,-120.78962,25507,J1772,MUNI_GOV
1000 Ulatis Dr,Vacaville,95687,Public,24 hours daily,,1,,1 SP Inductive,38.356027,-121.9628,25511,J1772,MUNI_GOV
190 Hickory Ln,Vacaville,95688,Public,24 hours daily,,3,,1 SP Inductive,38.35172,-121.987,25515,J1772 TESLA,TRAVEL_CENTER
40 Eldridge Ave,Vacaville,95688,Public,24 hours daily,,1,,1 SP Inductive,38.356907,-122.001886,25516,J1772,OFFICE_BLDG
500 Catherine St,Vacaville,95688,Public,24 hours daily,,1,,1 SP Inductive,38.355867,-121.9862,25517,J1772,PARKING_LOT
650 Merchant St,Vacaville,95688,Public,Primarily government use,,10,,3 SP Inductive,38.351758,-121.994475,25518,J1772,MUNI_GOV
6360 Fountain Square Dr,Citrus Heights,95621,Public,24 hours daily,,4,,1 SP Inductive,38.682605,-121.297614,25519,J1772,MUNI_GOV
2850 Fairlane Ct,Placerville,95667,Public,24 hours daily,,3,,,38.72799,-120.828,25522,J1772,MUNI_GOV
4640 Post St,El Dorado Hills,95762,Public,24 hours daily,,2,,,38.6476,-121.067,25523,J1772,MUNI_GOV
8480 Laguna Grove Dr,Elk Grove,95758,Private,Service center use only,,1,,,38.40553,-121.391,25525,J1772,CAR_DEALER
8455 Auburn-Folsom Rd,Granite Bay,95746,Public,8am-10pm daily,,1,,,38.74453,-121.17,25527,J1772,CONVENIENCE_STORE
5605 Marconi Ave,Carmichael,95608,Public,24 hours daily,,1,,,38.618066,-121.334337,25610,J1772,LIBRARY
1 Main St,Rio Vista,94571,Public,24 hours daily,,1,,,38.15485,-121.69,27302,J1772,MUNI_GOV
1000 Webster St,Fairfield,94533,Public,24 hours daily,,2,,,38.25281,-122.044229,27328,J1772,MUNI_GOV
4000 Suisun Valley Rd,Fairfield,94534,Public,24 hours daily,,3,,1 SP Inductive,38.23723,-122.123,27329,J1772,COLLEGE_CAMPUS
1 World Way,Los Angeles,90045,Public,24 hours daily; pay lot,,20,,,33.944761,-118.399767,28007,J1772,AIRPORT
1201 K St,Sacramento,95831,Private,,,1,,,38.578568,-121.491058,32850,J1772,UTILITY
1350 S Wall St,Los Angeles,90015,Private,Fleet use only,,21,,,34.033898,-118.256673,33178,J1772,UTILITY
3101 Artesian St,Los Angeles,90031,Private,Fleet use only,,67,,,34.081998,-118.21713,33179,J1772,UTILITY
11801 Sheldon St,Sun Valley,91352,Private,Fleet and employee use only,,17,,,34.241928,-118.390147,33183,J1772,UTILITY
N Oak St & W Standley St,Ukiah,95482,Public,24 hours daily,,1,,1 SP Inductive,39.15,-123.2091,33544,J1772,PARKING_LOT
1651 E Monte Vista Ave,Vacaville,95688,Public,24 hours daily; Drivers must bring their own J1772 cordset for Level 1 charging,1,1,,1 SP Inductive,38.368755,-121.961192,33545,J1772 NEMA515,SHOPPING_CENTER
3091 County Center Dr,Auburn,95603,Public - Credit card at all times,24 hours daily,,3,,,38.9412492,-121.1054805,33550,J1772,MUNI_GOV
817 4th St,Davis,95616,Public,6am to 2am daily,,2,,,38.54643,-121.7388,33555,J1772,PARKING_GARAGE
840 2nd St,Davis,95616,Public,24 hours daily,,2,,1 SP Inductive,38.5443,-121.738,33556,J1772,PAY_LOT
6 Howard Way,Davis,95616,Public,24 hours daily; pay lot; permit required 7am-10pm M-F; Drivers must bring their own J1772 cordset for Level 1 charging,2,7,,,38.544538,-121.749713,33557,J1772 NEMA520,COLLEGE_CAMPUS
315 Mace Blvd,Davis,95618,Public,24 hours daily,,1,,,38.55755,-121.6947,33558,J1772,PLACE_OF_WORSHIP
4500 Silva St,Lakewood,90712,Public,Mall business hours,,2,,,33.84788,-118.13889,33564,J1772,SHOPPING_MALL
101 E Sir Francis Drake Blvd,Larkspur,94939,Public,24 hours daily; pay lot,,1,,1 SP Inductive,37.94495,-122.5096,33690,J1772,PARKING_LOT
1 Airport Dr,Oakland,94621,Public,24 hours daily; pay lot,,2,,,37.7136,-122.2087,33695,J1772,AIRPORT
2000 Cadenasso Dr,Fairfield,94533,Public,24 hours daily,,2,,2 Tesla Conductive,38.2482,-122.0678,35146,J1772,TRAVEL_CENTER
1 Dr Carlton B Goodlet Pl,San Francisco,94102,Private,City vehicle use only,,1,,,37.77913,-122.418,35149,J1772,MUNI_GOV
1551 Froom Ranch Way,San Luis Obispo,93405,Public,24 hours daily,,2,,,35.249929,-120.689683,35560,J1772,SHOPPING_CENTER
319 Madonna Rd,San Luis Obispo,93401,Public,24 hours daily,,4,,,35.25982,-120.676,35561,J1772,SHOPPING_CENTER
801 Santa Monica Blvd,Santa Monica,90401,Public - Call ahead,Dealership business hours; priority for customer use,,3,,,34.019875,-118.49151,38379,J1772,CAR_DEALER
655 Beach St,San Francisco,94109,Public,24 hours daily; pay lot,,5,,,37.806798,-122.419488,38518,J1772,PAY_GARAGE
333 Civic Center Dr,Santa Monica,90401,Public,24 hours daily; pay lot,,12,2,,34.010528,-118.4898,38521,CHADEMO J1772,MUNI_GOV
693 S Orchard Ave,Ukiah,95482,Public - Call ahead,24 hours daily; guests may request use of the chargers when making hotel reservations,,1,,,39.1458,-123.198497,39314,J1772,HOTEL
1831 Auto Center Dr,Antioch,94509,Public - Call ahead,Dealership business hours,,1,1,,38.007799,-121.832042,39870,CHADEMO J1772 J1772COMBO,CAR_DEALER
2800 Pacheco Rd,Bakersfield,93313,Public - Call ahead,Dealership business hours,,3,1,,35.310723,-119.035324,39871,CHADEMO J1772 J1772COMBO,CAR_DEALER
6501 Auto Center Dr,Buena Park,90621,Public - Call ahead,Dealership business hours,,3,1,,33.865497,-117.995215,39872,CHADEMO J1772 J1772COMBO,CAR_DEALER
1505 E 223rd St,Carson,90745,Public - Call ahead,Dealership business hours,,2,1,,33.824968,-118.245675,39873,CHADEMO J1772 J1772COMBO,CAR_DEALER
68177 Kyle Rd,Cathedral City,92234,Public - Call ahead,Dealership business hours,,1,1,,33.78414,-116.471,39874,CHADEMO J1772,CAR_DEALER
18707 Studebaker Rd,Cerritos,90703,Public - Call ahead,Dealership business hours,,1,1,,33.861544,-118.100471,39875,CHADEMO J1772 J1772COMBO,CAR_DEALER
575 Manzanita Ave,Chico,95926,Public - Call ahead,Dealership business hours,,3,1,,39.756332,-121.843715,39876,CHADEMO J1772 J1772COMBO,CAR_DEALER
17320 E Gale Ave,City of Industry,91748,Public - Call ahead,Dealership business hours,,2,1,,33.997621,-117.928216,39877,CHADEMO J1772 J1772COMBO,CAR_DEALER
370 W Herndon Ave,Clovis,93612,Public - Call ahead,Dealership business hours,,1,,,36.836818,-119.717629,39878,J1772,CAR_DEALER
1500 Collins Ave,Colma,94014,Public - Call ahead,Dealership business hours,,1,1,,37.671267,-122.463541,39879,CHADEMO J1772,CAR_DEALER
1290 Concord Ave,Concord,94520,Public - Call ahead,Dealership business hours,,1,,,37.980192,-122.050128,39880,J1772,CAR_DEALER
2575 Wardlow Rd,Corona,92882,Public - Call ahead,Dealership business hours,,2,1,,33.88309,-117.615292,39881,CHADEMO J1772,CAR_DEALER
2850 Harbor Blvd,Costa Mesa,92626,Public - Call ahead,Dealership business hours,,2,1,,33.675397,-117.918684,39882,CHADEMO J1772 J1772COMBO,CAR_DEALER
5009 Chiles Rd,Davis,95618,Public - Call ahead,Dealership business hours,,1,1,,38.55252,-121.691555,39883,CHADEMO J1772,CAR_DEALER
7321 Firestone Blvd,Downey,90241,Public - Call ahead,Dealership business hours,,4,2,,33.9473,-118.151166,39884,J1772 J1772COMBO,CAR_DEALER
1434 Buena Vista St,Duarte,91010,Public - Call ahead,Dealership business hours,,1,,,34.136553,-117.975944,39885,J1772,CAR_DEALER
1170 W Main St,El Cajon,92020,Public - Call ahead,Dealership business hours,,1,,,32.795896,-116.976156,39886,J1772,CAR_DEALER
3428 N Peck Rd,El Monte,91731,Public - Call ahead,Dealership business hours,,2,1,,34.069536,-118.026911,39887,CHADEMO J1772 J1772COMBO,CAR_DEALER
8590 Laguna Grove Dr,Elk Grove,95757,Public - Call ahead,Dealership business hours,,4,2,,38.402217,-121.385527,39888,CHADEMO J1772,CAR_DEALER
1546 Auto Park Way,Escondido,92029,Public - Call ahead,Dealership business hours,,1,,,33.116492,-117.106837,39889,J1772,CAR_DEALER
601 7th St,Eureka,95501,Public - Call ahead,Dealership business hours,,1,,,40.800562,-124.164405,39890,J1772,CAR_DEALER
12610 Auto Mall Cir,Folsom,95630,Public - Call ahead,Dealership business hours,,3,1,,38.634132,-121.204871,39891,CHADEMO J1772 J1772COMBO,CAR_DEALER
16444 S Highland Ave,Fontana,92336,Public - Call ahead,Dealership business hours,,2,1,,34.135345,-117.445732,39892,CHADEMO J1772 J1772COMBO,CAR_DEALER
5701 Cushing Pkwy,Fremont,94538,Public - Call ahead,Dealership business hours,,2,1,,37.489389,-121.9576,39893,CHADEMO J1772,CAR_DEALER
5580 N Blackstone Ave,Fresno,93710,Public - Call ahead,Dealership business hours,,1,,,36.818622,-119.789796,39894,J1772,CAR_DEALER
9222 Trask Ave,Garden Grove,92844,Public - Call ahead,Dealership business hours,,2,1,,33.766376,-117.968337,39895,CHADEMO J1772 J1772COMBO,CAR_DEALER
1670 W Redondo Beach Blvd,Gardena,90247,Public - Call ahead,Dealership business hours,,1,,,33.889201,-118.307028,39896,J1772,CAR_DEALER
400 Automall Dr,Gilroy,95020,Public - Call ahead,Dealership business hours,,1,,,36.996869,-121.558573,39897,J1772,CAR_DEALER
727 S Brand Blvd,Glendale,91204,Public - Call ahead,Dealership business hours; contact 630-469-6100 for more information,,1,1,,34.137054,-118.25536,39898,CHADEMO J1772 J1772COMBO,CAR_DEALER
425 S Kellogg Ave,Goleta,93117,Public - Call ahead,Dealership business hours,,3,1,,34.43427,-119.820934,39899,CHADEMO J1772,CAR_DEALER
24644 Mission Blvd,Hayward,94544,Public - Call ahead,Dealership business hours,,2,1,,37.662305,-122.075178,39901,CHADEMO J1772 J1772COMBO,CAR_DEALER
200 Carriage Cir,Hemet,92545,Public - Call ahead,Dealership business hours,,1,,,33.741163,-117.031718,39902,J1772,CAR_DEALER
17331 Beach Blvd,Huntington Beach,92647,Public - Call ahead,Dealership business hours,,2,1,,33.71069,-117.989861,39903,CHADEMO J1772 J1772COMBO,CAR_DEALER
32 Auto Center Dr,Irvine,92618,Public - Call ahead,Dealership business hours,,2,1,,33.632505,-117.723298,39904,CHADEMO J1772 J1772COMBO,CAR_DEALER
79125 Highway 111,La Quinta,92253,Public - Call ahead,Dealership business hours,,2,1,,33.70711,-116.283712,39905,CHADEMO J1772,CAR_DEALER
635 W Washington Blvd,Los Angeles,90015,Public - Call ahead,Dealership business hours,,1,1,,34.035168,-118.273229,39906,CHADEMO J1772,CAR_DEALER
3550 Cahuenga Blvd W,Los Angeles,90068,Public - Call ahead,Dealership business hours,,2,1,,34.133446,-118.356601,39907,CHADEMO J1772,CAR_DEALER
1675 Auto Center Dr,Merced,95340,Public - Call ahead,Dealership business hours,,1,,,37.305891,-120.502428,39908,J1772,CAR_DEALER
11000 Sepulveda Blvd,Mission Hills,91345,Public - Call ahead,Dealership business hours,,1,,,34.269809,-118.466606,39910,J1772,CAR_DEALER
4530 McHenry Ave,Modesto,95356,Public - Call ahead,Dealership business hours,,1,,,37.705119,-120.99471,39911,J1772,CAR_DEALER
9440 Autoplex Dr,Montclair,91763,Public - Call ahead,Dealership business hours,,1,1,,34.082404,-117.694876,39912,CHADEMO J1772 J1772COMBO,CAR_DEALER
1665 Industrial Park Ave,Redlands,92374,Public - Call ahead,Dealership business hours,,3,1,,34.065387,-117.212007,39913,CHADEMO J1772 J1772COMBO,CAR_DEALER
510 Soscol Ave,Napa,94559,Public - Call ahead,Dealership business hours,,1,,,38.292706,-122.277767,39914,J1772,CAR_DEALER
2700 National City Blvd,National City,91950,Public - Call ahead,Dealership business hours,,1,,,32.659001,-117.100836,39915,J1772,CAR_DEALER
3535 College Blvd,Oceanside,92056,Public - Call ahead,Dealership business hours,,2,1,,33.181953,-117.298334,39916,CHADEMO J1772,CAR_DEALER
1140 W Katella Ave,Orange,92867,Public - Call ahead,Dealership business hours,,2,1,,33.80857,-117.864434,39917,CHADEMO J1772,CAR_DEALER
1801 Auto Center Dr,Oxnard,93036,Public - Call ahead,Dealership business hours,,1,1,,34.22771,-119.150217,39918,CHADEMO J1772,CAR_DEALER
451 Auto Center Dr,Palmdale,93551,Public - Call ahead,24 hours daily; primarily for customer use,,2,2,,34.591173,-118.138184,39919,CHADEMO J1772,CAR_DEALER
1250 Auto Center Dr,Petaluma,94952,Public - Call ahead,Dealership business hours,,4,1,,38.267202,-122.665068,39920,CHADEMO J1772 J1772COMBO,CAR_DEALER
14100 Poway Rd,Poway,92064,Public - Call ahead,Dealership business hours,,1,1,,32.956772,-117.025943,39921,CHADEMO J1772,CAR_DEALER
300 E Cypress Ave,Redding,96002,Public - Call ahead,Dealership business hours,,1,,,40.571632,-122.36654,39922,J1772,CAR_DEALER
1 Bair Island Rd,Redwood City,94063,Public - Call ahead,Dealership business hours,,3,1,,37.495963,-122.227322,39923,CHADEMO J1772,CAR_DEALER
3277 Auto Plaza,Richmond,94806,Public - Call ahead,Dealership business hours,,1,1,,37.985253,-122.32124,39925,CHADEMO J1772 J1772COMBO,CAR_DEALER
6030 Sycamore Canyon Blvd,Riverside,92507,Public - Call ahead,Dealership business hours,,1,,,33.941878,-117.297603,39926,J1772,CAR_DEALER
8330 Indiana Ave,Riverside,92504,Public - Call ahead,Dealership business hours,,2,1,,33.925469,-117.419673,39927,CHADEMO J1772 J1772COMBO,CAR_DEALER
600 Automall Dr,Roseville,95661,Public - Call ahead,Dealership business hours; 916-969-5700,,1,1,,38.752198,-121.256452,39928,CHADEMO J1772 J1772COMBO,CAR_DEALER
2820 Auburn Blvd,Sacramento,95821,Public - Call ahead,Dealership business hours; 916-488-5400,,1,1,,38.631393,-121.396604,39929,CHADEMO J1772 J1772COMBO,CAR_DEALER
222 Auto Center Cir,Salinas,93907,Public - Call ahead,Dealership business hours,,2,1,,36.720023,-121.662519,39930,CHADEMO J1772,CAR_DEALER
735 Showcase Dr S,San Bernardino,92408,Public - Call ahead,Dealership business hours; contact 909-885-3883 for more information,,1,1,,34.074378,-117.298,39931,CHADEMO J1772,CAR_DEALER
8118 Clairemont Mesa Blvd,San Diego,92111,Public - Call ahead,Dealership business hours,,1,1,,32.833179,-117.147384,39932,CHADEMO J1772,CAR_DEALER
4433 Mission Bay Dr,San Diego,92109,Public - Call ahead,Dealership business hours,,1,1,,32.802475,-117.215269,39933,CHADEMO J1772,CAR_DEALER
680 E El Camino Real,Sunnyvale,94087,Public - Call ahead,Dealership business hours,,2,,,37.359362,-122.022783,39934,J1772,CAR_DEALER
1120 W Capitol Expy,San Jose,95136,Public - Call ahead,Dealership business hours,,1,2,,37.275144,-121.877656,39935,CHADEMO J1772 J1772COMBO,CAR_DEALER
33633 Camino Capistrano,San Juan Capistrano,92675,Public - Call ahead,Dealership business hours,,2,1,,33.47443,-117.676142,39936,CHADEMO J1772,CAR_DEALER
1152 Marina Blvd,San Leandro,94577,Public - Call ahead,Dealership business hours,,2,1,,37.712609,-122.162746,39937,CHADEMO J1772 J1772COMBO,CAR_DEALER
12150 Los Osos Valley Rd,San Luis Obispo,93405,Public - Call ahead,Dealership business hours,,4,1,,35.25062,-120.68455,39938,CHADEMO J1772,CAR_DEALER
4855 Stevens Creek Blvd,Santa Clara,95051,Public - Call ahead,Dealership business hours,,1,2,,37.323569,-121.988027,39939,CHADEMO J1772 J1772COMBO,CAR_DEALER
1275 Santa Rosa Ave,Santa Rosa,95404,Public - Call ahead,Dealership business hours,,4,1,,38.425537,-122.714089,39943,CHADEMO J1772 J1772COMBO,CAR_DEALER
1661 Del Monte Blvd,Seaside,93955,Public - Call ahead,Dealership business hours,,2,1,,36.611189,-121.849899,39944,CHADEMO J1772,CAR_DEALER
5425 Van Nuys Blvd,Sherman Oaks,91401,Public - Call ahead,Dealership business hours,,1,1,,34.168824,-118.449059,39945,CHADEMO J1772 J1772COMBO,CAR_DEALER
2325 1st St,Simi Valley,93065,Public - Call ahead,Dealership business hours,,1,1,,34.277324,-118.778957,39947,CHADEMO J1772 J1772COMBO,CAR_DEALER
3077 E Hammer Ln,Stockton,95212,Public - Call ahead,Dealership business hours,,2,1,,38.022022,-121.275339,39948,CHADEMO J1772,CAR_DEALER
41895 Motor Car Pkwy,Temecula,92591,Public - Call ahead,Dealership business hours,,2,1,,33.516768,-117.155039,39949,CHADEMO J1772,CAR_DEALER
3195 N Naglee Rd,Tracy,95304,Public - Call ahead,Dealership business hours,,1,,,37.75990555387505,-121.4632051865082,39951,J1772,CAR_DEALER
30 Auto Center Dr,Tustin,92782,Public - Call ahead,Dealership business hours,,1,1,,33.72484,-117.799302,39952,CHADEMO J1772 J1772COMBO,CAR_DEALER
671 Orange Dr,Vacaville,95687,Public - Call ahead,Dealership business hours,,1,,,38.381441,-121.941218,39953,J1772,CAR_DEALER
24111 Creekside Rd,Valencia,91355,Public - Call ahead,Dealership business hours,,3,,,34.420546,-118.557774,39954,J1772,CAR_DEALER
3287 Sonoma Blvd,Vallejo,94590,Public - Call ahead,Dealership business hours,,1,,,38.118088,-122.255493,39955,J1772,CAR_DEALER
15722 Valley Park Ln,Victorville,92394,Public - Call ahead,Dealership business hours; contact 760-241-1700 for more information,,1,,,34.517883,-117.3219,39956,J1772,CAR_DEALER
830 S Ben Maddox Way,Visalia,93292,Public - Call ahead,Dealership business hours,,1,1,,36.32327,-119.27569,39957,CHADEMO J1772 J1772COMBO,CAR_DEALER
205 N Citrus St,West Covina,91791,Public - Call ahead,Dealership business hours,,1,1,,34.074227,-117.890899,39959,CHADEMO J1772,CAR_DEALER
4675 Viewridge Ave,San Diego,92123,Public,7am-8:30pm daily,,2,,,32.823912,-117.12114,40185,J1772,OFFICE_BLDG
4750 Kearny Mesa Rd,San Diego,92111,Public - Call ahead,Dealership business hours; customer use only,1,1,,,32.82408524,-117.1471252,40407,J1772 NEMA520,OFFICE_BLDG
